ISDN,AMOUNT,MONTH_ACTIVE,AMOUNT_TOPUP_AVG_MONTH,AMOUNT_TOPUP_MONTH_CHECK,ARPU_EACH_MONTH,ARPU_AVG,STATUS
7J8l6BFv/iakTmv9w/dW1g==,40000,49.979091995,190000,270000,183428,183428,1
qth1rzJDuvB/YuLNXfH47g==,5000,140.568697729,33333,70000,60530,60530,0
S0J+s4/f6DzMh7OXsIdnzw==,10000,74.21385902,75000,100000,46657,69985,0
8nDR9kN5bZjt2KRZkB4yKQ==,15000,53.568697729,60000,60000,69949,69949,0
gXEq0N+UrOE6S2vRkEEE+w==,50000,39.94683393,303333,140000,298032,298032,1
D4TyQc2jCSHPG6qMhkP+pQ==,10000,28.955794504,40000,80000,53389,53389,0
UBTcKM8L2kK0GK+NXQL4+Q==,50000,155.462962962,466667,410000,441484,441484,1
joZJdPJhvCbSK2i79yvXBQ==,10000,121.85902031,70000,80000,40001,40001,0
gMhMFZioOVz9SNdVg36KCw==,5000,54.117084826,36667,20000,83367,83367,0
sfVbEVCYJ6b7DhYwUMWvqA==,35000,91.65651135,156667,220000,156128,156128,1
tVKGrHrP1yE+JtyGpZWdIQ==,50000,105.624253285,273333,320000,267424,267424,1
m+0Fe+iVK3JzOsFEme9ZJw==,30000,32.21385902,136667,300000,136333,136333,0
5h4wGsRagNYlJpXo7L4uAw==,40000,111.172640382,166667,260000,154558,154558,1
KV58r2m+bMs+gqVpJYr4tw==,30000,41.633213859,133333,80000,150821,150821,0
XGiEsyrnPn7EiN15UBYUFw==,15000,87.149342891,70000,70000,62336,62336,0
JthJc8Z6k8jQIYAST8xF1Q==,5000,39.891278375,40000,30000,39623,39623,0
ibc4NIclQx+/c7nUQT40eg==,15000,23.246117084,75000,120000,73010,73010,0
pyffv0agRnZN+XvKJ8H67Q==,50000,27,435000,720000,261931,261931,1
RWpzVDVHd2sMQmeEKlv5dw==,15000,28.729988052,66667,100000,54317,54317,0
gTrR6nbiIrJNnsyC9UOkXA==,15000,27.181600955,70000,120000,66469,66469,0
13DvaQAnBo6yifhdexrpUQ==,35000,24.753285543,156667,270000,173054,173054,1
plroSMYRmfhDK4knOPgw8A==,50000,23.366188769,320000,340000,333122,333122,1
dB/2oIo2knfpzwD/+zUtLQ==,40000,59.237156511,170000,260000,176227,176227,1
7tvTECWwWSkl71F8RovfPQ==,5000,32.794504181,26667,20000,23835,23835,0
rrV8+HpG+z2Ko3k7CycgbQ==,25000,115.721027479,100000,20000,122437,122437,1
yyQCfXydRqc7wxfkG7JLcQ==,50000,168.108124253,353333,350000,374052,374052,1
WAD18eG027PVvC+Y3iLxbQ==,15000,25.988052568,110000,50000,85464,85464,0
9vG7ugfrW6swH3vD8wUdAg==,40000,23.366188769,200000,350000,263517,263517,1
OjlQyuIZ3DdoCKXsGvWP/w==,45000,113.850059737,250000,500000,198147,198147,1
/SUYUKsehZi3FvWF2ueuhQ==,50000,140.333930704,440000,400000,438274,438274,1
/dr9wLMb8OC/o1lOHu+kog==,40000,26.65651135,206667,200000,200815,200815,1
dRe/8OvCca3Be23RKwXlUA==,40000,58.30167264,200000,230000,202447,202447,1
J84SrGsPPaBsyu2YIOsWjg==,50000,190.462962962,333333,450000,328734,328734,1
KZfs/CDqJGrJfZShOhTlug==,25000,115.633213859,113333,40000,119228,119228,0
HeaQ4nT/l8NggGQ69AMAdA==,10000,56.536439665,43333,20000,48266,48266,0
uYeJ77w+mfC0evIXiK5jQg==,50000,90,266667,200000,292156,292156,1
8dd2kQ4WLbnp0/tL93hjgw==,5000,74.697729988,30000,20000,19691,19691,0
5C6D+DgOPBnU8qcyPDP5Cw==,50000,92.140382317,930000,840000,918462,918462,1
WWqSRuV19/xHK/GvgXSYLA==,20000,27.721027479,83333,30000,84350,84350,1
QdZl11baleBK88nL51YFlg==,25000,34.246117084,150000,100000,106720,160081,0
9GqLhDp1Plb7WjI+7AaggA==,35000,159.762246117,150000,50000,150227,150227,0
+bh7iimUDleGeAHFNsPz1w==,50000,158.398446833,633333,500000,638726,638726,1
ZzyWSBAb7FqqoO1rTkDjwg==,40000,70.882317801,216667,200000,228736,228736,1
Hx9S5zuLA5YJAyQsv1bbaA==,30000,157.94683393,200000,200000,177192,177192,1
OFpZQOkBX73vm/71eF40RQ==,10000,58,40000,40000,35314,35314,0
ACpk5Z7RB0eAqp4OIL2/6A==,50000,27.785543608,373333,450000,371632,371632,1
7h0ryx7CwliYI5oC9YmERw==,5000,22.794504181,30000,40000,22664,33997,0
7u9TjkUpugtFykH80mlEDA==,45000,112.310633213,256667,220000,254570,254570,0
5n9l0GbnjORx5RE0w1wOqw==,15000,29.246117084,73333,100000,76210,76210,0
AyV85wFzO+Nu/YWF79aDmg==,20000,46.85902031,120000,180000,88597,88597,0
T3cXEFhF+8cUZaGeXyor1w==,5000,44.117084826,23333,30000,26626,26626,0
AW/nwvAlU8umMYarYVSZkw==,20000,32.891278375,83333,20000,93341,93341,0
vARbHGIPA8ugHj9Xag52Qg==,30000,90.988052568,133333,100000,193541,193541,0
o8lnyF/1MDwDZgpmY6c8pg==,10000,140.729988052,60000,70000,67792,67792,0
YY9Bvn8tJIizawYcbrc/hw==,45000,66.988052568,230000,170000,240481,240481,0
2wnYjMMlUh1pGA22yjikZA==,25000,23.342891278,100000,100000,102665,102665,0
NGM00nrGOYuagy2IKlwG1Q==,20000,45.624253285,93333,60000,91702,91702,1
U6Mfx1/VH9J88ASkNdzI2g==,10000,27.204898446,70000,120000,35997,53996,1
DdCmpMrVAvCUv9NavgwiKw==,20000,46.21385902,90000,150000,88838,88838,0
ayMaf/o0RbI0M54gGZfF2w==,50000,40.310633213,916667,1500000,897048,897048,0
vNju1rMxFPNiChzgJvhU3A==,45000,59.172640382,223333,200000,218557,218557,1
6EiBtcK5QinHCeqt2olqkA==,50000,47.430704898,356667,450000,383776,383776,1
qIrJ5azx8xAIr8XebFGMwA==,40000,85.591995221,166667,150000,180836,180836,1
bUahLYlKtR8oX6CBhgrtCA==,20000,23.278375149,125000,100000,71818,107727,0
rQP+3EwC7+kAP5QvN9oL3w==,30000,116,200000,250000,119927,179890,0
RtaqKDOO7YaFJCR5lQgiJQ==,15000,57.439665471,66667,40000,69363,69363,0
t19NRA3uQNTUHm8dkihwhw==,50000,109.591995221,300000,300000,286633,286633,1
IdHyetvoBWsZlTO0dg6o/g==,50000,152.914575866,293333,350000,301897,301897,1
i2gayvrgqq4mbnVDs6QMzA==,50000,138.108124253,500000,500000,598185,598185,1
EXG+OnPoMMjlittXpfTggQ==,50000,162.721027479,336667,270000,327643,327643,1
CTVw3K+R5bGx7I44IJomMA==,35000,78.721027479,146667,210000,166906,166906,1
i8v2DIarVY9xuhgWg4gHhA==,10000,54.559737156,50000,110000,59674,59674,1
jMmlJBi87/dlSanKX7Psbg==,5000,25.891278375,55000,40000,39019,39019,0
44mMk9lYbK0eU03kFAovCw==,5000,121.85902031,23333,30000,23147,23147,0
87E2GNqHzo6dDb+BEbAoQw==,25000,32.955794504,103333,50000,95814,95814,0
ll0rR5oH3UsPeA1KQO8WaA==,25000,22.923536439,106667,120000,106459,106459,0
tozsJLBKQky1CTCbfLTnPw==,35000,67.237156511,150000,140000,149943,149943,1
+XnVuHLZGx+BLhshxNocKQ==,10000,50.172640382,40000,40000,38688,38688,1
3GD0hwcqcPSTjtzuXLYmZw==,20000,33.430704898,125000,100000,117064,117064,1
1uggtCE78x7bPo89f9n0wA==,50000,33.269414575,456667,720000,421313,421313,1
znvk6Dq5MtBJHvdp4ivwtA==,15000,85.665471923,60000,100000,34336,34336,0
h2FcmXX1zk+THkJ6TbM7jQ==,20000,24.342891278,125000,100000,86248,129372,0
LE/3yvnaBbXu7zxRvVzbkA==,35000,45.333930704,153333,200000,157719,157719,1
KdsfqqGgRE27FYH65f2sGg==,45000,153.237156511,233333,250000,231513,231513,1
UschyRJPDhMM5g5w73oEmg==,30000,43.729988052,126667,200000,126664,126664,0
uYfzze/VOsipKoAyRDah0g==,50000,148.204898446,283333,410000,274343,274343,1
hWN+FCupncCqB0AE2hnzJg==,40000,57.333930704,166667,260000,152759,152759,1
QBMf8W7p/iwuRJYP47eCpw==,10000,86.117084826,65000,50000,46726,70089,0
Gx41mklhHut9rY/YLa7NJw==,10000,88.181600955,43333,20000,43267,43267,0
NCVvPA3XSIji8/mBMLEPsg==,35000,111.108124253,150000,50000,141709,141709,1
vgDILNCPE+kTbl0s9LNIJQ==,50000,148.785543608,880000,600000,864556,864556,1
Jmi6cthYVs5JDsU/fULj6w==,45000,56.882317801,243333,250000,253718,253718,1
oP/fq5NRfnBSZ73vqmIgbA==,35000,63.721027479,143333,170000,154720,154720,1
ruU8F2ttrMbYYPiVlUyS3w==,5000,53.568697729,45000,40000,32666,48999,0
TW+bNxDMo+eM4InfJc006Q==,5000,28.117084826,50000,20000,42996,64495,0
mOw78bJcxEwOrn6mLdVCFw==,35000,52.398446833,160000,170000,159899,159899,1
Y/NAwMGzt+gPwBLY1goMbA==,15000,35.181600955,76667,90000,78693,78693,0
VAh9ruP7XIkpa/eeNntCgg==,50000,138.65651135,403333,330000,400168,400168,1
TTcKWdJOnkS3+2ofl6rroA==,40000,62.721027479,200000,220000,228076,228076,1
z1ZICMJaIJfBvjkOnP5Xkw==,15000,33.988052568,63333,40000,66000,66000,0
VIjroxFhWjynabsY0pyPtw==,10000,49.697729988,50000,40000,57002,57002,0
HOFIUEzHmtfZxthqxlJY5A==,5000,25.955794504,25000,10000,23328,34992,0
eXOqCLpjzYd75kGCuhawmA==,5000,26.633213859,32500,5000,23949,23949,0
ut3AcS+oERloaxy+XPaxnA==,30000,24.729988052,125000,170000,123464,123464,0
sNIdv7Jpps+YBoID8yTdhw==,5000,29.988052568,33333,40000,27277,27277,0
j7Z/ygRlqtzfYOZnPuvzog==,20000,199.665471923,96667,120000,97199,97199,0
3FJXmUVgafZKxJiS+MC1EQ==,50000,75.043608124,506667,600000,479962,479962,1
C/+DMCVHrA7tjAwjWggq7g==,15000,29.5041816,66667,70000,64003,64003,0
Qft9HWifb4HW7nj940v14g==,40000,168.817801672,173333,110000,106508,106508,1
JcZ3gTrZIXfT3S/j0SA6rw==,10000,107.988052568,70000,120000,23495,23495,0
H8hYM2DULfkebdR8AeI2LA==,35000,155.140382317,163333,200000,171897,171897,1
xCcRXVfR4/yfgxbqkXcM4w==,15000,115.600955794,90000,100000,46527,46527,0
mQplLy69kAyExeYW4T84OQ==,40000,29.108124253,183333,150000,177383,177383,1
PiNQOd5ORQERapH3DY7ksw==,40000,53.043608124,166667,200000,158375,158375,1
y2rjI8OdAIfxhuG2C11gcw==,40000,85.729988052,186667,120000,206161,206161,0
+9hETg9KEzCV31kTiTzqSw==,5000,25.536439665,40000,40000,31953,31953,0
p5h98Xy9puSyoRO2DkVcUw==,15000,62.471923536,56667,70000,71662,71662,0
dCnshLcj/ZcgtdAG+Fz7kg==,30000,64.333930704,116667,160000,118207,118207,1
5aiHuAzIJMWvZBIaQ4h8XA==,5000,24.278375149,30000,20000,22665,33998,0
CZAheDtr0ET1bn3OLy4Pgg==,45000,142.398446833,230000,200000,217151,217151,1
V92QHPjPPp/PAAutd9gaxQ==,20000,56.955794504,120000,190000,72747,109121,0
Ot/sXnPEgcJdezJ6C3r0nA==,10000,23.826762246,50000,50000,53261,53261,0
LFXOKtSms4sY/F/q5uz5/A==,35000,67.495221027,160000,290000,161173,161173,1
99A5z6OB4BIcR7ZvLYY4Yw==,5000,36.762246117,30000,20000,28765,28765,0
MXV4QRkp1xvd+NU/WYNx3Q==,40000,136.333930704,191667,155000,202928,202928,1
smXVu5q/rnI9zyE+2G1mEQ==,15000,41.762246117,66667,100000,60378,60378,0
NuxSCwamLmHnng3Smny1Mw==,5000,156.117084826,32500,45000,25330,37996,0
IHksPBLw48vsaiq3fcWOVA==,5000,27.495221027,36667,60000,31156,31156,1
XY3GChZVqWhrPBM3ufJqbg==,20000,50.826762246,96667,40000,96793,96793,0
IfVXtJTCorJgJv4XiRoTuA==,25000,54.882317801,106667,190000,102841,102841,1
ThsZTRIbsfOrFQ91+AWvEA==,5000,51.246117084,30000,30000,29597,29597,0
yFFWEIsUx5hhGP0BXkcZMw==,25000,42.891278375,170000,220000,114704,172057,0
o199HCLd+g140Syx6iwxlw==,15000,124.407407407,85000,20000,66526,99789,0
2OG4n720ud+2o7YUOpWOUA==,20000,60.633213859,83333,50000,70832,70832,0
F0VPsjYfbnKZFYexJkVryg==,35000,31.075866188,146667,240000,146123,146123,1
td4yYrGk1jlfI25V2OQ1sA==,5000,86.988052568,26667,20000,26093,26093,0
zOhW8QPRlkrrqu0OvsZ2nQ==,25000,45.624253285,100000,110000,109188,109188,1
h7ac/nPMhMpDJl6wMwYarQ==,15000,52.278375149,56667,100000,64701,64701,0
thDVVKgk8VZpG9cB5o+joQ==,50000,23.246117084,1880000,1880000,67,200,0
CjzoTBs/Y/o07qJ0GulPiQ==,5000,22.826762246,37500,70000,48333,72500,0
RbzQjQ3qZZf1Y8GNMgVLvQ==,30000,28.398446833,133333,220000,167730,167730,1
rV32Xv3OSUtHzIV++uOlHg==,5000,23.439665471,110000,110000,55949,167848,0
az8qWr1RZcUPMGau7skF2A==,40000,49.172640382,193333,200000,197564,197564,1
XYaYPuO/EiWa/l2/kU1ZuA==,15000,60.891278375,85000,20000,56662,84993,0
8yZERy22t8JdDJuFh9kWQQ==,40000,49.94683393,166667,200000,160686,160686,1
PXEGjO56oOkqli8HCOlsWg==,50000,103.624253285,903333,1160000,899945,899945,1
/Fsw/ZGGTyfEvzZTTPaSFA==,50000,95.65651135,296667,300000,296613,296613,1
HRkO7Y3PkjDw76uMimGPiw==,50000,51.753285543,326667,640000,323640,323640,1
EMhFkTomu/8L1Ck8m/zlFA==,5000,73.891278375,26667,20000,23566,23566,0
uE+7AjttwmnZKqaSlpwnmw==,20000,140,93333,40000,108127,108127,0
jqteo3BZ27cxPr0I54P2PQ==,50000,131.882317801,401667,505000,354286,354286,1
j/TaC+DLIZbMTdY6WSBJUA==,20000,35.697729988,130000,50000,96923,145384,0
Hyk4vNEILskfpfpRdE4FrA==,15000,27,66667,90000,74086,74086,0
PT1dI84prK/q1Pb47yb5GQ==,40000,133.665471923,200000,220000,204176,204176,0
A4G2lW7rs9dBPnaT5aoKEA==,50000,26.269414575,280000,260000,291675,291675,1
S4SWyJvdG4Aaq4YTLdBizA==,35000,127.65651135,140000,200000,135687,135687,1
kINIDiX3MN/eBM+fvxtCjQ==,15000,54.407407407,60000,40000,86679,86679,0
1wsYy123GWFXzccEKbmT6Q==,15000,33.439665471,63333,20000,63330,63330,0
Xvee9PJBP+QGBTNApA4Oag==,50000,29.94683393,270000,260000,261472,261472,1
0LOWlVuzGDOqeXEs6U/szQ==,25000,59.375149342,100000,20000,115978,115978,0
jpJ4kSegTE58MAQCWTly6w==,35000,52.624253285,153333,300000,145733,145733,1
Ro2hpByDkETV2N0KTgZOJw==,50000,28.624253285,266667,50000,268364,268364,1
zb1lRGNlK5rObziLvv8Pfg==,15000,111.084826762,60000,80000,57558,57558,0
Lqx+CG+JA1ajLkwM+wI1IA==,35000,31.591995221,156667,300000,154374,154374,1
epX/j3FcObfa3UkOKkB2OQ==,30000,87.084826762,123333,150000,115941,115941,0
OQDoXbGAPMqRo6+tkNPQRQ==,40000,42.850059737,180000,110000,198465,198465,1
1LzqL/EfZgtXjcjfnGEhrw==,50000,148.375149342,700000,850000,697014,697014,0
kA9rxU+Lboe29Bc2YEAr1g==,30000,52.084826762,136667,230000,142475,142475,0
aU/wyGOcXyssV8gtkwHInQ==,25000,28.117084826,103333,70000,121554,121554,0
/qUUA6O/FYZyVqKcd0UXhA==,50000,67.914575866,303333,430000,292081,292081,1
QzKxJRVcqEj10jx8QFkbiw==,50000,68.398446833,613333,500000,609252,609252,1
hZtq1CJkrCKhq9OVaQno5w==,10000,41.310633213,50000,50000,48271,48271,0
9Tbsrw8As0GvOi7SEsy50Q==,20000,104.624253285,90000,120000,84135,84135,1
/XTyo2pvVjR32tPHW5OYmA==,5000,24.269414575,35000,60000,33478,50218,1
DLkLWbO9TUB3EBHxRk0fLg==,50000,51.559737156,403333,690000,412062,412062,1
DE3mIgAP46Mv43xmIs8/+A==,20000,136.688769414,86667,40000,101654,101654,1
CShZczLgCOL9XykAeWmaOA==,25000,28.914575866,100000,150000,97816,97816,1
xqsD29MnnYnNEeMVTqdsPA==,15000,43.342891278,70000,70000,69819,69819,0
77LghdaS3RvL+jwUbRKRng==,15000,27.204898446,60000,40000,61163,61163,1
V401YkQg9Bk40I0CITmJYw==,5000,48,40000,50000,28973,43459,0
hjp08hRnwsRllTF8wJo0Ww==,5000,23.117084826,33333,20000,33326,33326,0
43OVcpEW2iY/7gs39NQH8Q==,15000,31.65651135,63333,150000,62112,62112,1
oEKzewVZy04SDJbopnRQTg==,30000,24.568697729,116667,100000,148323,148323,0
fUm5e2IGSrPKKbkIADxUrg==,10000,48.955794504,53333,80000,51308,51308,0
erXJ+FJGy38Wg/MeIWvQTg==,10000,27,43333,10000,48330,48330,0
CptbyANtIsv5WMDNPf1quA==,30000,54.117084826,123333,150000,122187,122187,0
jwwBX6XKqZ3UlkgbYRdeRw==,15000,27,73333,70000,75975,75975,0
+4jLLsU5BGE4/GfB3kB15w==,50000,29.495221027,350000,350000,353359,353359,1
yg6APNsAVyM1ZgL9c3Eyag==,25000,24.633213859,300000,300000,140496,210745,0
x4lnfBBzEGR16xkU+JfsXQ==,20000,52.075866188,145000,120000,74996,112494,1
JbRn/cp8Po02WOG8Zz1vjg==,15000,23.149342891,100000,100000,83326,83326,0
7Zo5wYVrPa8KmNziHJnvYQ==,25000,161.85902031,101667,105000,105416,105416,0
M/x/BFuDUAhjZtpbgQ8hwQ==,25000,147.817801672,106667,200000,96311,96311,1
yBhBszuaiS0aN4JrWqiT9g==,50000,101.462962962,326667,250000,345071,345071,1
ztJrT2SHWxJCpmgTpnIFTg==,40000,135.237156511,170000,200000,146860,146860,1
iYzpsy1jURQZVzb3VDUQSQ==,50000,87.075866188,423333,350000,445662,445662,1
qIlUO/ORHtluhffCda50cg==,40000,33.65651135,173333,100000,176449,176449,1
FlQIG/973vR2neWyMP4VzA==,10000,120.439665471,50000,50000,52771,52771,0
69uGBeK1MfqkUHRaoXGLQA==,45000,85.591995221,256667,260000,281827,281827,1
S/z/9HaCYQG+3CBcVc9wMw==,35000,35.65651135,156667,170000,170798,170798,1
xVLA7QNyKccCOIM5D1kBkA==,35000,140.785543608,163333,300000,171796,171796,1
IhjjqT1xZtvMC/bwySxYYA==,5000,27.955794504,20000,20000,21879,21879,0
9YBowGnYtET0eimBfuBKpw==,50000,73.914575866,293333,320000,293434,293434,1
HLFIXXTjIzx3pw95fgfq9Q==,40000,93.084826762,213333,200000,205804,205804,0
Jo+3AKxAjuM2S+RPBctiwA==,30000,133.600955794,120000,100000,126575,126575,0
AUUzwm+6cT455Ex/pRs6Sw==,45000,28.753285543,360000,320000,275547,275547,1
vANSXptpO2a6sJAF875ltA==,30000,55.108124253,116667,190000,154677,154677,1
Btaya3RvnmzNXTsO/dng4Q==,50000,32.568697729,426667,220000,423158,423158,0
p+f0edAQydZUsNfSJfpNYQ==,45000,73.914575866,226667,560000,169863,169863,1
OnQNZ3V9VBEXkSKQc0U65Q==,50000,31.30167264,820000,580000,818788,818788,1
GRIei+dxVFzA2C1aeAoyVQ==,30000,98.794504181,133333,200000,226793,226793,0
/MX5AiWEeLBuaWTKkho/Gg==,5000,84.568697729,45000,40000,59459,59459,0
P8eAZuquR/F4nzBoiw2fVg==,50000,73.559737156,486667,300000,489193,489193,1
EXiLIIVlJ4+fPZvY92CueQ==,25000,25.826762246,100000,100000,99997,99997,0
oMQRrXGNdSguPFOxigPvrw==,10000,52.5041816,40000,20000,35070,35070,0
CyWSfOIZE/ioKTBtDFk03g==,40000,95.30167264,180000,200000,172846,172846,1
ZTezJzFhglnC6K6RRp6MEA==,25000,34.084826762,100000,100000,102366,102366,0
d/loOHgr6l9ZsS8IUMNhZA==,25000,134.21385902,113333,80000,140277,140277,0
0OVVWxe+qt/bcpncNsbDQg==,5000,49.988052568,20000,10000,21657,21657,0
rTGKRzmhilx4y2iOFLK54Q==,40000,45.140382317,310000,350000,223017,334526,1
A0OJThyhwa7R9S9/EKMchQ==,20000,71.65651135,96667,30000,107806,107806,1
efsjuMDGsS9r7tUv78qrJg==,15000,65.955794504,56667,70000,55815,55815,0
EVYeoIpXLtOQDKdgxVtmXQ==,45000,102.172640382,233333,190000,466201,466201,1
1Z0g4QImsxDjwbOnityCyg==,45000,53.237156511,246667,80000,257414,257414,1
SWBJMc3YLnKA28HRiQwDWA==,20000,47.785543608,86667,140000,88547,88547,1
qvK11iG4R5fr8cYAP3KrWQ==,30000,56.826762246,130000,70000,126255,126255,0
UOIUol2AtyA5On7rYkdAKA==,5000,39.697729988,90000,90000,33465,50198,0
fO0vHuNWY8nYO9Tghcoy5Q==,15000,28.407407407,66667,50000,76486,76486,0
9TFTatQIYCDlR4W50pZYqg==,15000,50.439665471,76667,80000,88101,88101,0
qDxp8QXjDfKp5R0m0mRqnA==,10000,40.955794504,46667,100000,39162,39162,0
JCReII3g48vnog1ZU8nZkw==,15000,64.624253285,76667,90000,102420,102420,1
dA1Z3QYTvp+iUAKXF3qURA==,50000,214.850059737,900000,800000,902191,902191,1
D8Y1mvPpjR9GjlNQTx4ZGA==,10000,36.375149342,60000,40000,39995,59992,0
r/YoiBEUQjtlb2EH5MevhQ==,50000,45.65651135,703333,720000,704310,704310,1
/PPFQHOA8eRet7xWe/XFpQ==,10000,46.665471923,50000,50000,39631,39631,0
lMZVeSRvxaud+pKaNeu9cQ==,50000,92.721027479,650000,700000,707916,707916,1
PeKlEVHuRKyxHRdK2tDs2g==,10000,96.988052568,50000,50000,51677,51677,0
XkZlO8SltZU7CC8fPtfGGw==,50000,142.117084826,283333,230000,270330,270330,0
cFTFJQYybWFolXYyqO3Mqg==,40000,26.688769414,183333,280000,182257,182257,1
IXTq9rC13ngfFhq05oOo3A==,15000,43.923536439,76667,70000,74320,74320,0
TV32gUymOdao3Um0F6/RJA==,5000,24.785543608,80000,80000,24594,36891,1
Witlg456CY5ipDJN6+Ye0g==,40000,87.075866188,196667,330000,186017,186017,1
qfotnWr7w0MblnawtTzcuw==,15000,28.21385902,70000,90000,106559,106559,0
iANmtXmjOast+bvkrAO7hQ==,45000,52.817801672,260000,340000,264423,264423,1
gCHjXORYL/hp+5PlTiFRiA==,30000,26.407407407,121667,140000,130839,130839,0
q3i3yNX9U86hY4sUmv+aTg==,40000,125.979091995,200000,240000,196955,196955,1
vzzWdhlq4Yn2rGpFBegNFw==,50000,61.591995221,366667,500000,331224,331224,1
3FZq80euhQcfT/fqG/mwow==,50000,32.914575866,346667,200000,324929,324929,1
arLwaeHxT9Bl2qRzDe0OHg==,20000,75.172640382,125000,150000,109239,109239,1
JTSqNx0vPuS5Xvf+d361kQ==,25000,105.697729988,106667,100000,101782,101782,0
vXo9VCPRslIGnV+ctniG+Q==,5000,47.794504181,16667,20000,16671,16671,0
jc9nHtD6entcNVziGE8Wwg==,25000,46.269414575,113333,200000,91966,91966,1
gJVaOgxOyMGJS6uqpCmFag==,50000,136.366188769,316667,350000,290312,290312,1
/dE2+U8cTHC0j2qAUJwlVw==,15000,28.988052568,56667,70000,68886,68886,0
JcArwvVXxfYRRfw+Dt88AA==,50000,129.591995221,413333,240000,441174,441174,1
LBEkx4lKwCt+O5gN/++Hmg==,10000,142.471923536,50000,60000,46592,46592,0
HxHTTDBXSbjwQP19n9T3nA==,10000,34.665471923,40000,40000,38712,38712,0
QNgFqJXNaoT/CDpm5XwGGQ==,30000,140.697729988,123333,100000,128662,128662,0
+sQ73+OqMSpN1RcXjPsI5Q==,10000,45,50000,70000,45421,45421,0
IH7xQPW8wMtqZNMWMSFmQg==,20000,76.246117084,80000,50000,76988,76988,0
mhNtqWX1hLb2U3riHhAJBw==,20000,70.762246117,145000,250000,111670,167505,0
03ZMxMS6G+lHkhvtxM3+wQ==,20000,58.269414575,90000,100000,85100,85100,1
jKxHaXwV4PCpWMK6VI+AmA==,30000,94.729988052,116667,50000,144488,144488,0
wN+XIUkkE6aRzTH5Zspr3A==,10000,118.181600955,50000,30000,49180,49180,0
KJv/RVjTf1sjjEK+DNsFbA==,50000,125.527479091,680000,600000,669532,669532,1
e+hVnYCtPeB/bSEKAqJw/A==,35000,29.65651135,163333,180000,159724,159724,1
jPcsAGPa2hb9wabLrt4Clw==,15000,28.988052568,56667,70000,61169,61169,0
